cust_id,lookalikes
C0001,"[('C0045', 0.8615055792365193), ('C0197', 0.8550843708905976), ('C0018', 0.8434477183909179)]"
C0002,"[('C0133', 0.9133592083820165), ('C0173', 0.7777776482181025), ('C0030', 0.75010775134793)]"
C0003,"[('C0181', 0.8097233440206699), ('C0164', 0.8077429798566367), ('C0051', 0.7967473135829507)]"
C0004,"[('C0075', 0.8427002418593201), ('C0118', 0.8330229532239347), ('C0065', 0.8202443680629055)]"
C0005,"[('C0096', 0.8384229321730522), ('C0007', 0.8018562771172913), ('C0069', 0.7868276583951426)]"
C0006,"[('C0139', 0.7705123021687875), ('C0124', 0.7588074463883422), ('C0187', 0.7307074033117478)]"
C0007,"[('C0001', 0.834703171591808), ('C0096', 0.8198137991183833), ('C0181', 0.8192759635501985)]"
C0008,"[('C0164', 0.8278379385262935), ('C0162', 0.8273349083046786), ('C0057', 0.8213804529652392)]"
C0009,"[('C0049', 0.8093900271341683), ('C0156', 0.7713122629299538), ('C0056', 0.770257591775896)]"
C0010,"[('C0092', 0.8113864196808185), ('C0034', 0.7953852978646002), ('C0058', 0.7721885983412303)]"
C0011,"[('C0094', 0.7605209864197229), ('C0153', 0.7563575565062305), ('C0063', 0.7449007169434992)]"
C0012,"[('C0136', 0.9073254373845407), ('C0076', 0.8759032340734098), ('C0059', 0.8349254390780327)]"
C0013,"[('C0105', 0.8738744597116879), ('C0183', 0.8320657237762842), ('C0028', 0.8251390578463521)]"
C0014,"[('C0128', 0.948688327118156), ('C0159', 0.7816812265509566), ('C0012', 0.7631407172081925)]"
C0015,"[('C0073', 0.7640343030301583), ('C0060', 0.7553600318468102), ('C0182', 0.7549659384222474)]"
C0016,"[('C0184', 0.8849022035565539), ('C0066', 0.8253301866981514), ('C0102', 0.8232451667313873)]"
C0017,"[('C0164', 0.826894419896105), ('C0041', 0.8233278714144373), ('C0021', 0.8059300026211254)]"
C0018,"[('C0114', 0.8675056811601068), ('C0001', 0.8434477183909179), ('C0161', 0.8251971559626313)]"
C0019,"[('C0191', 0.8669453631276147), ('C0171', 0.8580997545888139), ('C0070', 0.8486523235842452)]"
C0020,"[('C0050', 0.8011422312732385), ('C0001', 0.7784986853818913), ('C0045', 0.774001716411742)]"
